timeframe,symbol,time,open,high,low,close
5min,NVDA,1653312600,162.74,163.75,162.25,163.65
5min,NVDA,1653312900,163.95,165.27,162.26,162.7
5min,NVDA,1653313200,162.7,165.47,161.9,165.47
5min,NVDA,1653313500,165.565,167.94,165,167.49
5min,NVDA,1653313800,167.43,168.185,166.12,166.26
5min,NVDA,1653314100,166.31,166.52,164.4,164.7
5min,NVDA,1653314400,164.62,164.63,163.26,163.74
5min,NVDA,1653314700,163.95,164.81,163.38,164.18
5min,NVDA,1653315000,164.23,165.2,163.76,164.63
5min,NVDA,1653315300,165.11,165.78,163.96,165.3
5min,NVDA,1653315600,165,165.4,164.1,164.92
5min,NVDA,1653315900,164.94,164.94,162.64,164.29
5min,NVDA,1653316200,164.5,166.12,163.91,165.19
5min,NVDA,1653316500,165.38,165.54,164.01,164.685
5min,NVDA,1653316800,164.49,165.27,163.39,163.8
5min,NVDA,1653317100,163.84,164.7,162.62,163.65
5min,NVDA,1653317400,163.52,163.8,162.89,163.61
5min,NVDA,1653317700,163.42,164.61,163.1,164.52
5min,NVDA,1653318000,164.14,166.05,163.9,166.03
5min,NVDA,1653318300,165.95,166.47,165.27,165.5
5min,NVDA,1653318600,165.34,166.32,165.08,166.32
5min,NVDA,1653318900,166.5,166.69,165.34,165.34
5min,NVDA,1653319200,165.33,166.15,165.33,166.05
5min,NVDA,1653319500,166.23,166.91,166.07,166.49
5min,NVDA,1653319800,166.5,167.5,166.35,167.48
5min,NVDA,1653320100,167.43,168.1,167.14,168.1
5min,NVDA,1653320400,168.14,168.14,167.02,167.13
5min,NVDA,1653320700,167.07,167.51,166.27,166.61
5min,NVDA,1653321000,166.66,167.1,166.5,167.1
5min,NVDA,1653321300,166.97,167.4,166.92,167.2
5min,NVDA,1653321600,167.13,168.05,166.53,167.98
5min,NVDA,1653321900,168.05,169,167.73,168.59
5min,NVDA,1653322200,168.72,168.72,167.39,167.61
5min,NVDA,1653322500,167.57,167.95,167.27,167.35
5min,NVDA,1653322800,167.4,167.84,167.37,167.71
5min,NVDA,1653323100,167.61,167.8,166.86,166.95
5min,NVDA,1653323400,166.99,166.99,166.39,166.83
5min,NVDA,1653323700,166.77,167.38,166.51,167.38
5min,NVDA,1653324000,167.35,167.57,167.05,167.56
5min,NVDA,1653324300,167.57,167.59,166.5,166.73
5min,NVDA,1653324600,166.86,166.87,166.3,166.31
5min,NVDA,1653324900,166.44,166.92,166.24,166.89
5min,NVDA,1653325200,166.9,166.9,166.12,166.12
5min,NVDA,1653325500,166,166.54,165.91,166.51
5min,NVDA,1653325800,166.64,166.88,166.39,166.75
5min,NVDA,1653326100,166.67,166.67,166.05,166.26
5min,NVDA,1653326400,166.08,166.08,165.38,165.85
5min,NVDA,1653326700,166.14,166.23,165.85,165.85
5min,NVDA,1653327000,165.84,166.49,165.62,166.37
5min,NVDA,1653327300,166.16,166.6,166.06,166.4
5min,NVDA,1653327600,166.53,166.91,166.39,166.8
5min,NVDA,1653327900,166.69,167.58,166.69,167.45
5min,NVDA,1653328200,167.3,167.3,166.97,167.04
5min,NVDA,1653328500,167.13,167.41,167.09,167.41
5min,NVDA,1653328800,167.59,167.75,166.92,167.06
5min,NVDA,1653329100,167.25,167.57,167.11,167.39
5min,NVDA,1653329400,167.42,168.15,167.42,168.02
5min,NVDA,1653329700,168,168.08,167.62,168.05
5min,NVDA,1653330000,168,168.28,167.75,167.83
5min,NVDA,1653330300,167.84,168.03,167.52,167.62
5min,NVDA,1653330600,167.7,168.53,167.55,168.25
5min,NVDA,1653330900,168.18,168.5,168.07,168.47
5min,NVDA,1653331200,168.4,169.02,168.17,168.98
5min,NVDA,1653331500,169.09,169.1,167.78,168.04
5min,NVDA,1653331800,167.99,168.5,167.84,168.01
5min,NVDA,1653332100,168.25,168.36,167.76,168.1
5min,NVDA,1653332400,168.13,168.39,167.84,168.14
5min,NVDA,1653332700,168.45,168.83,168.22,168.83
