timeframe,symbol,time,open,high,low,close
3min,NQ,1679868000,12916,12921.75,12902.5,12909.75
3min,NQ,1679868180,12910.5,12936.25,12909,12930.5
3min,NQ,1679868360,12930,12930.25,12923.25,12929
3min,NQ,1679868540,12927.5,12933.75,12925.25,12929
3min,NQ,1679868720,12929.5,12938,12928.25,12931.5
3min,NQ,1679868900,12931.5,12932.5,12927.75,12932
3min,NQ,1679869080,12932.5,12933.25,12927,12930.25
3min,NQ,1679869260,12930,12933,12926.75,12926.75
3min,NQ,1679869440,12927.5,12931.5,12922.25,12928.5
3min,NQ,1679869620,12928,12936.75,12927.75,12934.75
3min,NQ,1679869800,12935.25,12937,12931,12934.75
3min,NQ,1679869980,12934.5,12935.25,12931,12932.25
3min,NQ,1679870160,12932.75,12934.25,12927.75,12928.75
3min,NQ,1679870340,12928.75,12933.5,12928.75,12930.5
3min,NQ,1679870520,12929.75,12942.5,12928.25,12940.25
3min,NQ,1679870700,12940.25,12940.5,12935.75,12937.25
3min,NQ,1679870880,12937.5,12939.25,12935.75,12937
3min,NQ,1679871060,12937.5,12938.75,12935.25,12936
3min,NQ,1679871240,12936.25,12938,12934,12936
3min,NQ,1679871420,12936.75,12938.25,12932.75,12933.75
3min,NQ,1679871600,12933.75,12936,12930.5,12932.5
3min,NQ,1679871780,12932.25,12933.25,12930,12933
3min,NQ,1679871960,12933,12937.25,12930.5,12937.25
3min,NQ,1679872140,12937,12937,12932.25,12934.25
3min,NQ,1679872320,12934.5,12935.25,12931,12935.25
3min,NQ,1679872500,12935.75,12938.25,12934.5,12936
3min,NQ,1679872680,12937,12957,12934.25,12952
3min,NQ,1679872860,12950.75,12958,12946.25,12955.5
3min,NQ,1679873040,12955,12956,12947.25,12951.5
3min,NQ,1679873220,12952,12956.25,12946.5,12952
3min,NQ,1679873400,12951.75,12960.25,12951.75,12958.75
3min,NQ,1679873580,12958.25,12958.25,12953.75,12954.5
3min,NQ,1679873760,12954,12955,12950,12950
3min,NQ,1679873940,12950.75,12954,12948,12951.5
3min,NQ,1679874120,12951,12951,12944.25,12945
3min,NQ,1679874300,12945.5,12947.75,12943,12943.5
3min,NQ,1679874480,12943.75,12947.75,12942.5,12946.25
3min,NQ,1679874660,12946.25,12947.75,12943.75,12946
3min,NQ,1679874840,12945.75,12948.5,12944.5,12947.25
3min,NQ,1679875020,12947,12950,12945.25,12947.75
3min,NQ,1679875200,12948.25,12949.25,12940,12943.75
3min,NQ,1679875380,12942.75,12944.75,12941,12944.5
3min,NQ,1679875560,12944,12944,12938,12939.5
3min,NQ,1679875740,12939.5,12946.25,12939,12939
3min,NQ,1679875920,12939.25,12940.25,12936.5,12936.5
3min,NQ,1679876100,12936.25,12940,12922,12924.75
3min,NQ,1679876280,12925,12926,12917.75,12921.75
3min,NQ,1679876460,12922.25,12927.25,12922.25,12924.75
