symbol,timeframe,time,open,high,low,close
TSLA,timeframe,1356964200,2.199998,2.264664,2.199998,2.257998
TSLA,timeframe,1357137000,2.333331,2.363325,2.313664,2.357331
TSLA,timeframe,1357223400,2.34533,2.363331,2.316664,2.317998
TSLA,timeframe,1357309800,2.319998,2.319998,2.261331,2.29333
TSLA,timeframe,1357569000,2.319998,2.319998,2.259997,2.289331
TSLA,timeframe,1357655400,2.299998,2.299998,2.207331,2.24533
TSLA,timeframe,1357741800,2.26733,2.279331,2.226664,2.242664
TSLA,timeframe,1357828200,2.257998,2.265998,2.225331,2.235331
TSLA,timeframe,1357914600,2.26933,2.26933,2.140665,2.193998
TSLA,timeframe,1358173800,2.205331,2.225331,2.189998,2.21733
TSLA,timeframe,1358260200,2.207331,2.283331,2.205331,2.259997
TSLA,timeframe,1358346600,2.256665,2.281998,2.248664,2.273332
TSLA,timeframe,1358433000,2.277331,2.323332,2.261331,2.291998
TSLA,timeframe,1358519400,2.315998,2.318664,2.254665,2.301331
TSLA,timeframe,1358865000,2.303998,2.369998,2.283997,2.345998
TSLA,timeframe,1358951400,2.334664,2.415998,2.330665,2.399998
TSLA,timeframe,1359037800,2.399998,2.514664,2.389331,2.465998
TSLA,timeframe,1359124200,2.466664,2.502663,2.453331,2.465331
TSLA,timeframe,1359383400,2.457331,2.580665,2.457331,2.535331
TSLA,timeframe,1359469800,2.539998,2.562664,2.475331,2.529997
TSLA,timeframe,1359556200,2.523331,2.533331,2.49533,2.501331
TSLA,timeframe,1359642600,2.524664,2.524664,2.461997,2.500663
TSLA,timeframe,1359729000,2.544664,2.566664,2.507997,2.553331
TSLA,timeframe,1359988200,2.559997,2.561331,2.505997,2.515998
TSLA,timeframe,1360074600,2.533331,2.576663,2.511997,2.541997
TSLA,timeframe,1360161000,2.54533,2.625997,2.526964,2.611331
TSLA,timeframe,1360247400,2.612664,2.64533,2.596664,2.631997
TSLA,timeframe,1360333800,2.629997,2.666664,2.609331,2.615998
TSLA,timeframe,1360593000,2.531997,2.609997,2.499997,2.561331
TSLA,timeframe,1360679400,2.563331,2.591331,2.485997,2.525997
TSLA,timeframe,1360765800,2.553331,2.599997,2.536664,2.563331
TSLA,timeframe,1360852200,2.575997,2.583331,2.547331,2.553331
TSLA,timeframe,1360938600,2.566664,2.56733,2.463331,2.46933
TSLA,timeframe,1361284200,2.490664,2.61933,2.487331,2.618664
TSLA,timeframe,1361370600,2.619997,2.64333,2.563998,2.56933
TSLA,timeframe,1361457000,2.432665,2.492664,2.302664,2.343998
TSLA,timeframe,1361543400,2.381331,2.425998,2.373332,2.407331
TSLA,timeframe,1361802600,2.409997,2.449998,2.289331,2.291998
TSLA,timeframe,1361889000,2.297332,2.330665,2.253331,2.29533
TSLA,timeframe,1361975400,2.293998,2.360664,2.29333,2.339998
TSLA,timeframe,1362061800,2.392664,2.406665,2.291331,2.321998
TSLA,timeframe,1362148200,2.333331,2.338664,2.283331,2.309997
TSLA,timeframe,1362407400,2.317998,2.388664,2.313331,2.371998
TSLA,timeframe,1362493800,2.399998,2.461331,2.385997,2.44333
TSLA,timeframe,1362580200,2.46733,2.525331,2.464664,2.512664
TSLA,timeframe,1362666600,2.515331,2.576663,2.458664,2.548664
TSLA,timeframe,1362753000,2.537331,2.629331,2.490664,2.564664
TSLA,timeframe,1363008600,2.591331,2.629331,2.576663,2.606665
TSLA,timeframe,1363095000,2.59333,2.625331,2.589998,2.607997
TSLA,timeframe,1363181400,2.599997,2.632665,2.587331,2.598664
TSLA,timeframe,1363267800,2.59333,2.593997,2.451331,2.456665
TSLA,timeframe,1363354200,2.442664,2.44333,2.347332,2.352664
TSLA,timeframe,1363613400,2.353331,2.403998,2.327998,2.34333
TSLA,timeframe,1363699800,2.349998,2.373332,2.329331,2.338664
TSLA,timeframe,1363786200,2.350664,2.404665,2.343998,2.396664
TSLA,timeframe,1363872600,2.396664,2.470664,2.382665,2.400664
TSLA,timeframe,1363959000,2.413331,2.453331,2.413331,2.441331
TSLA,timeframe,1364218200,2.473332,2.567997,2.451331,2.501997
TSLA,timeframe,1364304600,2.531997,2.547997,2.510664,2.523997
TSLA,timeframe,1364391000,2.529331,2.558664,2.487331,2.543997
TSLA,timeframe,1364477400,2.548664,2.549331,2.516664,2.525997
TSLA,timeframe,1364823000,2.823997,3.111996,2.779997,2.928663
TSLA,timeframe,1364909400,2.906664,3.03333,2.90067,2.955997
TSLA,timeframe,1364995800,2.873331,2.897997,2.680697,2.739998
TSLA,timeframe,1365082200,2.740664,2.816664,2.720731,2.800663
TSLA,timeframe,1365168600,2.799997,2.799997,2.699997,2.757997
TSLA,timeframe,1365427800,2.797997,2.836657,2.76733,2.788664
TSLA,timeframe,1365514200,2.786664,2.788657,2.688664,2.699997
TSLA,timeframe,1365600600,2.713331,2.800663,2.707331,2.790664
TSLA,timeframe,1365687000,2.803997,2.969997,2.783331,2.905997
TSLA,timeframe,1365773400,2.88333,3.009264,2.869997,2.916664
TSLA,timeframe,1366032600,2.899997,2.919997,2.833996,2.886664
TSLA,timeframe,1366119000,2.945997,3.075997,2.92733,3.03933
TSLA,timeframe,1366205400,3.03333,3.06333,2.96933,3.029997
TSLA,timeframe,1366291800,3.06533,3.173263,3.026004,3.13133
TSLA,timeframe,1366378200,3.163998,3.32533,3.137998,3.188663
TSLA,timeframe,1366637400,3.239997,3.346663,3.18333,3.345997
TSLA,timeframe,1366723800,3.399997,3.527996,3.37733,3.400663
TSLA,timeframe,1366810200,3.393329,3.40333,3.26533,3.361996
TSLA,timeframe,1366896600,3.366663,3.493329,3.366663,3.466663
TSLA,timeframe,1366983000,3.541996,3.582664,3.374663,3.41333
TSLA,timeframe,1367242200,3.450663,3.665997,3.41333,3.662663
TSLA,timeframe,1367328600,3.73333,3.878662,3.583996,3.59933
TSLA,timeframe,1367415000,3.732664,3.732664,3.53333,3.551996
TSLA,timeframe,1367501400,3.589997,3.684663,3.579996,3.60733
TSLA,timeframe,1367587800,3.764663,3.764663,3.63333,3.636663
TSLA,timeframe,1367847000,3.75933,3.977329,3.699996,3.966663
TSLA,timeframe,1367933400,4.133329,4.157996,3.674663,3.700662
TSLA,timeframe,1368019800,3.833329,3.879996,3.713997,3.719096
TSLA,timeframe,1368106200,4.674662,5.051328,4.245996,4.626661
TSLA,timeframe,1368192600,4.643328,5.399995,4.616662,5.117596
TSLA,timeframe,1368451800,5.399329,5.866661,5.276728,5.853327
TSLA,timeframe,1368538200,6.281327,6.47466,5.409994,5.549328
TSLA,timeframe,1368624600,5.453328,5.791994,5.207328,5.656128
TSLA,timeframe,1368711000,6.313327,6.333327,5.910661,6.149861
TSLA,timeframe,1368797400,6.166661,6.295987,5.833327,6.099994
TSLA,timeframe,1369056600,6.074661,6.166661,5.908661,5.995994
TSLA,timeframe,1369143000,5.899994,5.999328,5.685335,5.839327
TSLA,timeframe,1369229400,5.757994,6.063995,5.699994,5.815995
TSLA,timeframe,1369315800,5.65366,6.20066,5.536661,6.181994
TSLA,timeframe,1369402200,6.173328,6.529993,6.133327,6.471994
TSLA,timeframe,1369747800,6.769993,7.383326,6.68666,7.355593
TSLA,timeframe,1369834200,7.569992,7.659992,6.599993,6.97526
TSLA,timeframe,1369920600,6.830661,7.302659,6.74666,6.99666
TSLA,timeframe,1370007000,7.083992,7.095993,6.515327,6.517326
TSLA,timeframe,1370266200,6.507993,6.507993,5.883327,6.17266
TSLA,timeframe,1370352600,6.183327,6.427994,6.160001,6.32266
TSLA,timeframe,1370439000,6.243994,6.531319,5.940661,6.357994
TSLA,timeframe,1370525400,6.349994,6.617993,6.34066,6.489994
TSLA,timeframe,1370611800,6.533327,6.859992,6.44666,6.802659
TSLA,timeframe,1370871000,6.595326,6.83466,6.571327,6.669993
TSLA,timeframe,1370957400,6.545326,6.578659,6.269994,6.297994
TSLA,timeframe,1371043800,6.453327,6.69866,6.383327,6.515327
TSLA,timeframe,1371130200,6.599993,6.61866,6.341334,6.545326
TSLA,timeframe,1371216600,6.66666,6.83466,6.621993,6.68666
TSLA,timeframe,1371475800,6.90666,6.983326,6.74666,6.813327
TSLA,timeframe,1371562200,6.783327,6.931993,6.613327,6.89266
TSLA,timeframe,1371648600,6.803993,7.111326,6.800659,6.978659
TSLA,timeframe,1371735000,6.976659,7.141993,6.629993,6.709993
TSLA,timeframe,1371821400,6.913326,6.913326,6.499994,6.63666
TSLA,timeframe,1372080600,6.433327,6.857993,6.353327,6.765994
TSLA,timeframe,1372167000,6.873327,6.94666,6.703327,6.826659
TSLA,timeframe,1372253400,6.919993,7.057986,6.843993,7.047993
TSLA,timeframe,1372339800,7.11666,7.349993,7.07546,7.283326
TSLA,timeframe,1372426200,7.237993,7.295993,7.113994,7.157326
TSLA,timeframe,1372685400,7.290659,7.851325,7.276659,7.811926
TSLA,timeframe,1372771800,7.883659,8.125992,7.699992,7.854659
TSLA,timeframe,1372858200,7.866659,7.949992,7.617992,7.68266
TSLA,timeframe,1373031000,7.887993,8.018659,7.713326,8.005992
TSLA,timeframe,1373290200,8.091325,8.145319,7.921326,8.107325
