timeframe,symbol,time,open,high,low,close
1min,AAPL,1678714200,147.71,148.98,147.64,148.92
1min,AAPL,1678714260,148.95,149.98,148.84,149.33
1min,AAPL,1678714320,149.27,149.43,149.04,149.17
1min,AAPL,1678714380,149.1,149.76,148.5,149.55
1min,AAPL,1678714440,149.47,149.51,149.1,149.24
1min,AAPL,1678714500,149.19,149.23,148.69,148.76
1min,AAPL,1678714560,148.74,149.03,148.73,148.94
1min,AAPL,1678714620,148.85,148.85,148.64,148.64
1min,AAPL,1678714680,148.63,148.63,148.13,148.23
1min,AAPL,1678714740,148.24,148.73,148.16,148.72
1min,AAPL,1678714800,148.71,149.01,148.7,149
1min,AAPL,1678714860,148.97,148.97,148.65,148.7
1min,AAPL,1678714920,148.68,148.76,148.43,148.76
1min,AAPL,1678714980,148.8,148.9,148.67,148.81
1min,AAPL,1678715040,148.79,148.82,148.62,148.75
1min,AAPL,1678715100,148.75,148.89,148.58,148.8
1min,AAPL,1678715160,148.8,148.94,148.62,148.94
1min,AAPL,1678715220,148.97,149.77,148.89,149.77
1min,AAPL,1678715280,149.77,150.2,149.51,150.085
1min,AAPL,1678715340,150.11,150.3,150.02,150.02
1min,AAPL,1678715400,150.02,150.33,149.95,150.24
1min,AAPL,1678715460,150.21,150.4,150.12,150.32
1min,AAPL,1678715520,150.36,150.56,150.26,150.295
1min,AAPL,1678715580,150.33,150.33,149.94,150.08
1min,AAPL,1678715640,150.07,150.47,150.05,150.47
1min,AAPL,1678715700,150.44,150.71,150.3,150.69
1min,AAPL,1678715760,150.68,150.85,150.6,150.85
1min,AAPL,1678715820,150.85,150.92,150.72,150.82
1min,AAPL,1678715880,150.86,151.135,150.81,151.03
1min,AAPL,1678715940,151.01,151.01,150.71,150.72
1min,AAPL,1678716000,150.71,150.78,150.46,150.58
1min,AAPL,1678716060,150.57,150.79,150.41,150.49
1min,AAPL,1678716120,150.52,150.65,150.45,150.53
1min,AAPL,1678716180,150.51,151,150.49,150.89
1min,AAPL,1678716240,150.87,151.09,150.82,150.84
1min,AAPL,1678716300,150.81,150.93,150.54,150.61
1min,AAPL,1678716360,150.61,150.79,150.51,150.65
1min,AAPL,1678716420,150.67,151,150.29,150.95
1min,AAPL,1678716480,150.97,151.45,150.91,151.35
1min,AAPL,1678716540,151.36,151.36,151.06,151.13
1min,AAPL,1678716600,151.15,151.28,151.08,151.11
1min,AAPL,1678716660,151.06,151.25,150.93,151.21
1min,AAPL,1678716720,151.22,151.28,150.72,150.78
1min,AAPL,1678716780,150.79,150.88,150.57,150.86
1min,AAPL,1678716840,150.885,150.97,150.73,150.88
1min,AAPL,1678716900,150.86,150.86,150.56,150.63
1min,AAPL,1678716960,150.63,150.75,150.36,150.48
1min,AAPL,1678717020,150.52,150.66,150.32,150.61
1min,AAPL,1678717080,150.61,151.02,150.57,150.77
1min,AAPL,1678717140,150.73,150.73,150.51,150.59
1min,AAPL,1678717200,150.58,150.77,150.42,150.77
1min,AAPL,1678717260,150.76,150.96,150.68,150.69
1min,AAPL,1678717320,150.69,151.25,150.69,151.08
1min,AAPL,1678717380,151.08,151.1,150.7,150.71
1min,AAPL,1678717440,150.71,150.87,150.68,150.87
1min,AAPL,1678717500,150.9,150.95,150.67,150.73
1min,AAPL,1678717560,150.73,151.14,150.66,151.01
1min,AAPL,1678717620,151.03,151.14,150.815,150.87
1min,AAPL,1678717680,150.89,151.15,150.87,151.01
1min,AAPL,1678717740,151.01,151.06,150.73,150.85
1min,AAPL,1678717800,150.87,151.19,150.87,151
1min,AAPL,1678717860,150.99,151.05,150.67,150.98
1min,AAPL,1678717920,150.98,151.6,150.94,151.58
1min,AAPL,1678717980,151.56,151.87,151.51,151.73
1min,AAPL,1678718040,151.77,151.84,151.46,151.58
1min,AAPL,1678718100,151.575,151.66,151.35,151.36
1min,AAPL,1678718160,151.35,151.42,151.07,151.12
1min,AAPL,1678718220,151.11,151.27,150.94,151.24
1min,AAPL,1678718280,151.23,151.23,150.93,150.99
1min,AAPL,1678718340,151.04,151.35,151.04,151.28
1min,AAPL,1678718400,151.28,151.36,151.13,151.16
1min,AAPL,1678718460,151.145,151.15,150.92,150.94
1min,AAPL,1678718520,150.93,150.94,150.63,150.77
1min,AAPL,1678718580,150.76,150.81,150.54,150.77
1min,AAPL,1678718640,150.79,151.14,150.79,151.01
1min,AAPL,1678718700,150.975,151.12,150.89,151.05
1min,AAPL,1678718760,151.08,151.14,150.95,150.97
1min,AAPL,1678718820,150.92,151.19,150.7,151.1
1min,AAPL,1678718880,151.08,151.18,150.95,151.11
1min,AAPL,1678718940,151.1,151.19,150.9,151
1min,AAPL,1678719000,150.99,151.06,150.55,150.62
1min,AAPL,1678719060,150.62,150.71,150.51,150.59
1min,AAPL,1678719120,150.59,150.72,150.19,150.36
1min,AAPL,1678719180,150.39,150.65,150.32,150.56
1min,AAPL,1678719240,150.56,150.69,150.42,150.68
1min,AAPL,1678719300,150.72,151.24,150.64,151.09
1min,AAPL,1678719360,151.12,151.54,151.11,151.54
1min,AAPL,1678719420,151.5,151.67,151.35,151.53
1min,AAPL,1678719480,151.48,151.72,151.48,151.7
1min,AAPL,1678719540,151.68,151.75,151.515,151.53
1min,AAPL,1678719600,151.58,151.65,151.35,151.455
1min,AAPL,1678719660,151.46,151.6,151.44,151.58
1min,AAPL,1678719720,151.47,152.14,151.46,151.94
1min,AAPL,1678719780,151.95,152.01,151.8,151.88
1min,AAPL,1678719840,151.84,151.93,151.7,151.73
1min,AAPL,1678719900,151.77,151.85,151.66,151.81
1min,AAPL,1678719960,151.87,151.95,151.7,151.75
1min,AAPL,1678720020,151.77,151.92,151.67,151.89
1min,AAPL,1678720080,151.89,152.15,151.74,152.09
1min,AAPL,1678720140,152.05,152.09,151.84,151.91
1min,AAPL,1678720200,151.91,152.06,151.86,152.04
1min,AAPL,1678720260,152.03,152.25,152.03,152.03
1min,AAPL,1678720320,152.06,152.55,152.045,152.3
1min,AAPL,1678720380,152.31,152.42,152.08,152.16
1min,AAPL,1678720440,152.14,152.26,152.05,152.08
1min,AAPL,1678720500,152.08,152.41,152.07,152.33
1min,AAPL,1678720560,152.33,152.5,152.29,152.35
1min,AAPL,1678720620,152.34,152.47,152.32,152.42
1min,AAPL,1678720680,152.415,152.64,152.39,152.64
1min,AAPL,1678720740,152.65,152.65,152.15,152.34
1min,AAPL,1678720800,152.38,152.425,152.2,152.24
1min,AAPL,1678720860,152.19,152.39,152.1,152.2
1min,AAPL,1678720920,152.18,152.27,151.85,151.89
1min,AAPL,1678720980,151.89,151.92,151.61,151.65
1min,AAPL,1678721040,151.66,151.98,151.66,151.94
1min,AAPL,1678721100,152,152.18,151.96,152.08
1min,AAPL,1678721160,152.09,152.4,151.97,152.27
1min,AAPL,1678721220,152.26,152.43,152.22,152.28
1min,AAPL,1678721280,152.34,152.63,152.32,152.5
1min,AAPL,1678721340,152.5,152.59,152.36,152.57
1min,AAPL,1678721400,152.6,152.67,152.51,152.66
1min,AAPL,1678721460,152.64,152.64,152.37,152.45
1min,AAPL,1678721520,152.46,152.46,152.28,152.3
1min,AAPL,1678721580,152.35,152.58,152.31,152.55
1min,AAPL,1678721640,152.55,152.56,152.41,152.45
1min,AAPL,1678721700,152.44,152.51,152.3,152.4
1min,AAPL,1678721760,152.37,152.48,152.27,152.46
1min,AAPL,1678721820,152.49,152.53,152.33,152.38
1min,AAPL,1678721880,152.39,152.63,152.35,152.6
1min,AAPL,1678721940,152.6,152.62,152.28,152.44
1min,AAPL,1678722000,152.45,152.68,152.43,152.575
