symbol,timeframe,time,open,high,low,close
AAPL,4H,1225373400,3.862139,3.972853,3.84321,3.951067
AAPL,4H,1225387800,3.950353,4.006782,3.911782,3.972496
AAPL,4H,1225459800,3.83571,3.916068,3.755353,3.903568
AAPL,4H,1225474200,3.904282,3.956067,3.81071,3.854639
AAPL,4H,1225722600,3.783211,3.896425,3.745353,3.862139
AAPL,4H,1225737000,3.861782,3.870353,3.767853,3.819282
AAPL,4H,1225809000,3.927139,3.970353,3.809996,3.969282
AAPL,4H,1225823400,3.966782,3.992496,3.881068,3.961782
AAPL,4H,1225895400,3.889639,3.918568,3.779639,3.809282
AAPL,4H,1225909800,3.810353,3.810353,3.678568,3.689996
AAPL,4H,1225981800,3.609996,3.669996,3.499997,3.536068
AAPL,4H,1225996200,3.536782,3.618568,3.511068,3.546068
AAPL,4H,1226068200,3.544282,3.564639,3.418568,3.541782
AAPL,4H,1226082600,3.542139,3.548211,3.440354,3.506425
AAPL,4H,1226327400,3.577496,3.583568,3.392854,3.433925
AAPL,4H,1226341800,3.431425,3.453568,3.374997,3.421425
AAPL,4H,1226413800,3.386068,3.412139,3.295354,3.31714
AAPL,4H,1226428200,3.31714,3.470354,3.304282,3.384997
AAPL,4H,1226500200,3.300711,3.329282,3.249997,3.285354
AAPL,4H,1226514600,3.285354,3.285711,3.214997,3.221068
AAPL,4H,1226586600,3.20964,3.272854,3.07214,3.158211
AAPL,4H,1226601000,3.159997,3.440711,3.148211,3.437854
AAPL,4H,1226673000,3.348568,3.35464,3.228925,3.279282
AAPL,4H,1226687400,3.278925,3.356782,3.214283,3.223211
AAPL,4H,1226932200,3.159997,3.233568,3.116425,3.204997
AAPL,4H,1226946600,3.20464,3.230711,3.13464,3.149997
AAPL,4H,1227018600,3.201425,3.248925,3.134283,3.155354
AAPL,4H,1227033000,3.155711,3.213568,3.102854,3.208568
AAPL,4H,1227105000,3.194283,3.270711,3.145354,3.146068
AAPL,4H,1227119400,3.145354,3.206425,3.082854,3.089283
AAPL,4H,1227191400,3.044283,3.086783,2.910711,2.986426
AAPL,4H,1227205800,2.985354,3.03464,2.866069,2.886426
AAPL,4H,1227277800,2.926069,3.003926,2.876426,2.880711
AAPL,4H,1227292200,2.881069,2.964283,2.826783,2.949283
AAPL,4H,1227537000,3.043211,3.244997,3.029997,3.211783
AAPL,4H,1227551400,3.211783,3.384997,3.196068,3.306425
AAPL,4H,1227623400,3.379639,3.381425,3.148568,3.210711
AAPL,4H,1227637800,3.211068,3.308211,3.17714,3.24214
AAPL,4H,1227709800,3.211425,3.392854,3.211425,3.349282
AAPL,4H,1227724200,3.350354,3.401782,3.316425,3.389639
AAPL,4H,1227882600,3.378568,3.383925,3.281425,3.30464
AAPL,4H,1228141800,3.260711,3.294997,3.179283,3.223925
AAPL,4H,1228156200,3.222854,3.270711,3.178568,3.178925
AAPL,4H,1228228200,3.215354,3.28214,3.089997,3.24714
AAPL,4H,1228242600,3.246782,3.308925,3.167854,3.303568
AAPL,4H,1228314600,3.192854,3.374997,3.174283,3.29214
AAPL,4H,1228329000,3.292497,3.436782,3.264282,3.428211
AAPL,4H,1228401000,3.372497,3.400354,3.293925,3.294282
AAPL,4H,1228415400,3.289997,3.332854,3.180711,3.264997
AAPL,4H,1228487400,3.225354,3.271782,3.174283,3.230354
AAPL,4H,1228501800,3.231068,3.374282,3.231068,3.354282
AAPL,4H,1228746600,3.474282,3.562139,3.421782,3.545711
AAPL,4H,1228761000,3.544996,3.599996,3.514996,3.560354
AAPL,4H,1228833000,3.501425,3.699639,3.471782,3.600354
AAPL,4H,1228847400,3.599639,3.619996,3.543925,3.573211
AAPL,4H,1228919400,3.495354,3.552496,3.455354,3.487497
AAPL,4H,1228933800,3.487497,3.521068,3.446425,3.506068
AAPL,4H,1229005800,3.474282,3.615711,3.421068,3.547496
AAPL,4H,1229020200,3.553211,3.567496,3.387497,3.396425
AAPL,4H,1229092200,3.314282,3.519639,3.305354,3.490711
AAPL,4H,1229106600,3.493211,3.534996,3.464997,3.511782
AAPL,4H,1229351400,3.428568,3.435711,3.321425,3.342854
AAPL,4H,1229365800,3.343568,3.385711,3.325354,3.385711
AAPL,4H,1229437800,3.356425,3.400711,3.312497,3.388211
AAPL,4H,1229452200,3.387854,3.445354,3.364282,3.403568
AAPL,4H,1229524200,3.251068,3.253568,3.143925,3.193568
AAPL,4H,1229538600,3.192854,3.224997,3.161783,3.182497
AAPL,4H,1229610600,3.189997,3.243568,3.158568,3.222854
AAPL,4H,1229625000,3.22214,3.229997,3.16964,3.196425
